category_name_ru,category_name_uz,category_kind,part_name_ru,part_name_uz
Двигатель,Двигатель,unit,Головка блока цилиндров,Цилиндрлар блоки калласи
Двигатель,Двигатель,unit,Прокладка ГБЦ,ГБЦ прокладкаси
Двигатель,Двигатель,unit,Поршень с кольцами,Поршень ва халқалари
Двигатель,Двигатель,unit,Шатун,Шатун
Двигатель,Двигатель,unit,Коленчатый вал,Коленвал
Двигатель,Двигатель,unit,Маховик,Маховик
Двигатель,Двигатель,unit,Вкладыши коленвала,Коленвал вкладишлари
Двигатель,Двигатель,unit,Распределительный вал,Распредвал
Двигатель,Двигатель,unit,Клапан впускной,Кириш клапани
Двигатель,Двигатель,unit,Клапан выпускной,Чиқиш клапани
Двигатель,Двигатель,unit,Толкатель клапана,Клапан итаргичи
Двигатель,Двигатель,unit,ТНВД (топливный насос высокого давления),Юқори босимли ёқилғи насоси (ТНВД)
Двигатель,Двигатель,unit,Форсунка топливная,Ёқилғи форсункаси
Двигатель,Двигатель,unit,Подкачивающий насос топлива,Ёқилғи ҳайдовчи насоси
Двигатель,Двигатель,unit,Фильтр-отстойник топлива,Ёқилғи чўкма фильтри
Двигатель,Двигатель,unit,Фильтр топливный тонкой очистки,Нозик тозалаш ёқилғи фильтри
Двигатель,Двигатель,unit,Фильтр топливный грубой очистки,Дағал тозалаш ёқилғи фильтри
Двигатель,Двигатель,unit,Воздушный фильтр,Ҳаво фильтри
Двигатель,Двигатель,unit,Масляный фильтр,Мой фильтри
Двигатель,Двигатель,unit,Радиатор водяной,Сув радиатори
Двигатель,Двигатель,unit,Термостат системы охлаждения,Совутиш термостати
Двигатель,Двигатель,unit,Водяной насос (помпа),Сув насоси (помпа)
Двигатель,Двигатель,unit,Вентилятор охлаждения,Совутиш вентилятори
Двигатель,Двигатель,unit,Компрессор пневмосистемы,Пневмотизим компрессори
Двигатель,Двигатель,unit,Стартер,Стартер
Двигатель,Двигатель,unit,Свеча накаливания,Қиздириш шами
Двигатель,Двигатель,unit,Ремень генератора,Генератор тасмаси
Двигатель,Двигатель,unit,Ремень ГРМ,ГРМ тасмаси
Трансмиссия,Трансмиссия,unit,Диск сцепления,Муфта диски
Трансмиссия,Трансмиссия,unit,Корзина сцепления,Муфта саватчаси
Трансмиссия,Трансмиссия,unit,Выжимной подшипник сцепления,Муфта итариш подшипниги
Трансмиссия,Трансмиссия,unit,Картер сцепления,Муфта картери
Трансмиссия,Трансмиссия,unit,Вал первичный КПП,КПП биринчи вали
Трансмиссия,Трансмиссия,unit,Вал вторичный КПП,КПП иккинчи вали
Трансмиссия,Трансмиссия,unit,Шестерня КПП,КПП шестернаси
Трансмиссия,Трансмиссия,unit,Синхронизатор КПП,КПП синхронизатори
Трансмиссия,Трансмиссия,unit,Подшипник КПП,КПП подшипниги
Трансмиссия,Трансмиссия,unit,Корпус заднего моста,Орқа кўприк корпуси
Трансмиссия,Трансмиссия,unit,Картер заднего моста,Орқа кўприк картери
Трансмиссия,Трансмиссия,unit,Дифференциал,Дифференциал
Трансмиссия,Трансмиссия,unit,Стакан подшипника дифференциала,Дифференциал подшипниги стакани
Трансмиссия,Трансмиссия,unit,Бортовой редуктор,Борт редуктори
Трансмиссия,Трансмиссия,unit,Полуось,Ярим ўқ
Трансмиссия,Трансмиссия,unit,Конечная передача,Охирги узатма
Трансмиссия,Трансмиссия,unit,Карданный вал,Кардан вали
Трансмиссия,Трансмиссия,unit,Крестовина карданного вала,Кардан крестовинаси
Трансмиссия,Трансмиссия,unit,Фланец карданного вала,Кардан фланеци
Гидравлика,Гидравлика,unit,Гидронасос,Гидронасос
Гидравлика,Гидравлика,unit,Гидроцилиндр подъёма,Кўтариш гидроцилиндри
Гидравлика,Гидравлика,unit,Гидрораспределитель,Гидротақсимлагич
Гидравлика,Гидравлика,unit,Гидроагрегаты и арматура,Гидроагрегатлар ва арматура
Гидравлика,Гидравлика,unit,Гидроувеличитель сцепного веса,Илашиш вазнини оширгич
Гидравлика,Гидравлика,unit,Гидроаккумулятор,Гидроаккумулятор
Гидравлика,Гидравлика,unit,Гидравлический шланг,Гидравлик шланг
Гидравлика,Гидравлика,unit,Ремкомплект гидроцилиндра,Гидроцилиндр таъмирлаш тўплами
Гидравлика,Гидравлика,unit,Гидравлический фильтр,Гидравлик фильтр
Гидравлика,Гидравлика,unit,Насос шестеренный (НШ),Шестерняли насос (НШ)
Гидравлика,Гидравлика,unit,Регулятор навесной системы,Илова тизими регулятори
Ходовая часть,Юриш қисми,unit,Ось передняя,Олд ўқ
Ходовая часть,Юриш қисми,unit,Тяга рулевая,Руль тортмаси
Ходовая часть,Юриш қисми,unit,Колесо переднее направляющее,Олд йўналтирувчи ғилдирак
Ходовая часть,Юриш қисми,unit,Ступица переднего колеса,Олд ғилдирак ступицаси
Ходовая часть,Юриш қисми,unit,Ступица заднего колеса,Орқа ғилдирак ступицаси
Ходовая часть,Юриш қисми,unit,Проставка для сдваивания колёс,Ғилдиракларни жуфтлаш втулкаси
Ходовая часть,Юриш қисми,unit,Рама (полурама),Рама (ярим рама)
Ходовая часть,Юриш қисми,unit,Бампер,Бампер
Ходовая часть,Юриш қисми,unit,Брызговик,Ботирувчи қалқон
Ходовая часть,Юриш қисми,unit,Шаровая опора,Шарсимон таянч
Ходовая часть,Юриш қисми,unit,Амортизатор,Амортизатор
Ходовая часть,Юриш қисми,unit,Рессора,Рессора
Ходовая часть,Юриш қисми,unit,Гидроусилитель рулевого управления,Руль гидрокучайтиргичи
Ходовая часть,Юриш қисми,unit,Цилиндр гидроусилителя руля,Руль гидрокучайтиргичи цилиндри
Ходовая часть,Юриш қисми,unit,Распределитель гидроусилителя руля,Руль гидрокучайтиргичи тақсимлагичи
Ходовая часть,Юриш қисми,unit,Рулевой механизм,Руль механизми
Электрооборудование,Электр жиҳозлари,unit,Аккумуляторная батарея,Аккумулятор батареяси
Электрооборудование,Электр жиҳозлари,unit,Генератор,Генератор
Электрооборудование,Электр жиҳозлари,unit,Фара передняя,Олд фара
Электрооборудование,Электр жиҳозлари,unit,Задний фонарь,Орқа чироқ
Электрооборудование,Электр жиҳозлари,unit,Плафон кабины,Кабина плафони
Электрооборудование,Электр жиҳозлари,unit,Указатель поворота,Бурилиш кўрсаткичи
Электрооборудование,Электр жиҳозлари,unit,Электромагнитное реле,Электромагнит реле
Электрооборудование,Электр жиҳозлари,unit,Щиток приборов,Асбоблар панели
Электрооборудование,Электр жиҳозлари,unit,Выключатель массы,Масса ажратгичи
Электрооборудование,Электр жиҳозлари,unit,Жгут проводки,Электр симлари тўплами
Электрооборудование,Электр жиҳозлари,unit,Предохранитель,Сақлагич
Тормозная система,Тормоз тизими,unit,Тормозной кран,Тормоз крани
Тормозная система,Тормоз тизими,unit,Тормозная камера,Тормоз камераси
Тормозная система,Тормоз тизими,unit,Тормозной барабан,Тормоз барабани
Тормозная система,Тормоз тизими,unit,Тормозные колодки,Тормоз колодкалари
Тормозная система,Тормоз тизими,unit,Тормозной диск,Тормоз диски
Тормозная система,Тормоз тизими,unit,Главный тормозной цилиндр,Асосий тормоз цилиндри
Тормозная система,Тормоз тизими,unit,Регулятор давления тормозов,Тормоз босими регулятори
Тормозная система,Тормоз тизими,unit,Ресивер воздушный,Ҳаво ресивери
Тормозная система,Тормоз тизими,unit,Соединительная головка,Уловчи бош
Тормозная система,Тормоз тизими,unit,Стояночный тормоз,Тўхташ тормози
Топливная система,Ёқилғи тизими,unit,Топливный бак,Ёқилғи баки
Топливная система,Ёқилғи тизими,unit,Топливопровод,Ёқилғи қувури
Топливная система,Ёқилғи тизими,unit,Датчик уровня топлива,Ёқилғи даражаси датчиги
Шины и диски,Шиналар ва дисклар,unit,Шина передняя,Олд шина
Шины и диски,Шиналар ва дисклар,unit,Шина задняя,Орқа шина
Шины и диски,Шиналар ва дисклар,unit,Камера колёсная,Ғилдирак камераси
Шины и диски,Шиналар ва дисклар,unit,Диск колёсный,Ғилдирак диски
Кабина и кузов,Кабина ва кузов,unit,Стекло ветровое,Олд ойна
Кабина и кузов,Кабина ва кузов,unit,Стекло заднее,Орқа ойна
Кабина и кузов,Кабина ва кузов,unit,Стеклоочиститель переднего стекла,Олд ойна тозалагичи
Кабина и кузов,Кабина ва кузов,unit,Стеклоочиститель заднего стекла,Орқа ойна тозалагичи
Кабина и кузов,Кабина ва кузов,unit,Сиденье оператора,Оператор ўриндиғи
Кабина и кузов,Кабина ва кузов,unit,Подвеска сиденья,Ўриндиқ осмаси
Кабина и кузов,Кабина ва кузов,unit,Зеркало заднего вида,Орқа кўриш ойнаси
Кабина и кузов,Кабина ва кузов,unit,Дверь кабины,Кабина эшиги
Кабина и кузов,Кабина ва кузов,unit,Козырёк противосолнечный,Қуёшдан сақловчи қалқон
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Болт М10,Болт М10
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Болт М12,Болт М12
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Болт М16,Болт М16
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Гайка М10,Гайка М10
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Шайба,Шайба
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Шплинт,Шплинт
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Хомут шланга,Шланг қисқичи
Крепёж и расходники,Маҳкамлагичлар ва сарф материаллари,consumable,Прокладочный материал (паронит),Паронит материали
Масла и жидкости,Мойлар ва суюқликлар,consumable,Моторное масло,Двигатель мойи
Масла и жидкости,Мойлар ва суюқликлар,consumable,Трансмиссионное масло,Трансмиссия мойи
Масла и жидкости,Мойлар ва суюқликлар,consumable,Гидравлическое масло,Гидравлик мой
Масла и жидкости,Мойлар ва суюқликлар,consumable,Тормозная жидкость,Тормоз суюқлиги
Масла и жидкости,Мойлар ва суюқликлар,consumable,Антифриз,Антифриз
Масла и жидкости,Мойлар ва суюқликлар,consumable,Смазка (солидол),Мойлаш материали (солидол)
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Жатка в сборе,Ўроқ (йиғма)
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Мотовило жатки,Ўроқ мотовиласи
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Режущий аппарат (нож жатки),Кесувчи аппарат (ўроқ пичоғи)
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Сегмент ножа жатки,Ўроқ пичоғи сегменти
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Шнек жатки,Ўроқ шнеки
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Наклонная камера,Қия камера
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Барабан молотильный,Янчиш барабани
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Подбарабанье,Барабан ости (подбарабанье)
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Соломотряс,Сомон қоқгич
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Решето верхнее,Юқори элак
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Решето нижнее,Пастки элак
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Вентилятор очистки,Тозалаш вентилятори
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Элеватор колосовой,Бошоқ элеватори
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Измельчитель соломы,Сомон майдалагич
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Битер отбойный,Урувчи битер
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Зерновой бункер,Ғалла бункери
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Выгрузной шнек,Туширувчи шнек
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Вариатор барабана,Барабан вариатори
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Шпиндель хлопкоуборочный,Пахта териш шпиндели
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Съёмник шпинделя,Шпиндель съёмниги
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Барабан уборочного аппарата,Йиғиш аппарати барабани
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Бункер хлопковый,Пахта бункери
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Кустоподъёмник,Туп кўтаргич
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Увлажнитель шпинделей (форсунка обмыва),Шпинделларни ҳўллагич (форсунка)
Уборочный аппарат и жатка,Йиғиш аппарати ва ўроқ,unit,Уплотнительный шнек бункера,Бункер зичлагич шнеки
Ходовая часть,Юриш қисми,unit,Гусеница (трак в сборе),Гусеница (трак йиғма)
Ходовая часть,Юриш қисми,unit,Башмак гусеницы,Гусеница башмоги
Ходовая часть,Юриш қисми,unit,Палец гусеницы,Гусеница пальцаси
Ходовая часть,Юриш қисми,unit,Каток опорный,Таянч катоги
Ходовая часть,Юриш қисми,unit,Каток поддерживающий,Қўллаб-қувватловчи катоги
Ходовая часть,Юриш қисми,unit,Звёздочка ведущая,Етакчи юлдузча
Ходовая часть,Юриш қисми,unit,Ленивец (направляющее колесо),Йўналтирувчи ғилдирак (ленивец)
Ходовая часть,Юриш қисми,unit,Механизм натяжения гусеницы,Гусеница тортиш механизми
Ходовая часть,Юриш қисми,unit,Опорно-поворотное устройство,Таянч-айланма қурилма
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Стрела экскаватора,Экскаватор стреласи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Рукоять экскаватора,Экскаватор дастаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Ковш экскаватора,Экскаватор ковши
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидроцилиндр стрелы,Стрела гидроцилиндри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидроцилиндр рукояти,Дастак гидроцилиндри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидроцилиндр ковша,Ковш гидроцилиндри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Отвал бульдозерный,Бульдозер отвали
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Редуктор хода гусеничный,Гусеница юриш редуктори
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Редуктор поворота платформы,Платформа айланиш редуктори
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Лебёдка крановая,Кран лебёдкаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Трос стальной грузовой,Пўлат юк троси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Крюк грузовой,Юк илгаги
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Аутригер (опора крана),Аутригер (кран таянчи)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Кузов самосвальный,Самосвал кузови
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидроцилиндр подъёма кузова,Кузов кўтариш гидроцилиндри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Цистерна (бак наливной),Цистерна (қуйма бак)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Насос перекачки,Ҳайдаш насоси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Шланг раздаточный с пистолетом,Тарқатувчи шланг (пистолет билан)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Счётчик расхода жидкости,Суюқлик сарфи ҳисоблагичи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Холодильная установка (рефрижератор),Совутиш қурилмаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Диск бороны,Борона диски
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Лемех плуга,Плуг лемехи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Отвал плуга,Плуг отвали
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Зуб культиватора,Культиватор тиши
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Цепь навесного оборудования,Илова занжири
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Механизм задней навески,Орқа илова механизми
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Раскос навески,Илова раскоси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Вал отбора мощности задний (ВОМ),Орқа қувват олиш вали (ВОМ)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,ВОМ боковой,Ён қувват олиш вали
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Приводной шкив ВОМ,ВОМ юритиш шкиви
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Сошник сеялки,Сеялка сошниги
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Диск сошника,Сошник диски
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Высевающий аппарат,Уруғ сепиш аппарати
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Туковысевающий аппарат,Ўғит сепиш аппарати
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Бункер семенной,Уруғ бункери
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Бункер туковый,Ўғит бункери
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Каток прикатывающий,Босувчи каток
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Форсунка распылителя,Пуркагич форсункаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Штанга опрыскивателя,Опрыскивател штангаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Насос опрыскивателя,Опрыскивател насоси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Бак опрыскивателя,Опрыскивател баки
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Вентилятор опрыскивателя,Опрыскивател вентилятори
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Фильтр опрыскивателя,Опрыскивател фильтри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Сопло двойное (VP),Икки томонли сопло (VP)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Рабочий орган опыливателя,Чангловчи иш органи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Диск разбрасывающий,Сепувчи диск
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Шнек питающий разбрасывателя,Сепгич озиқлантирувчи шнеки
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Транспортёр цепной,Занжирли транспортёр
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Бункер разбрасывателя удобрений,Ўғит сепгич бункери
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Подборщик пресс-подборщика,Пресс-подборчи йиғгичи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Камера прессования,Прессловчи камера
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Узловязатель,Тугун боғловчи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Ремень пресс-подборщика,Пресс-подборчи тасмаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Нож косилки роторный,Роторли ўроқ пичоғи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Ротор мульчирователя,Мульчирловчи ротор
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Барабан измельчителя стеблей,Поя майдалагич барабани
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Лазерный приёмник планировщика,Планировщик лазер қабулгичи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Отвал планировщика,Планировщик отвали
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Ковш скрепера,Скрепер ковши
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидроцилиндр планировщика,Планировщик гидроцилиндри
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Стойка чизеля,Чизель стойкаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Лапа (долото) чизеля,Чизель панжаси (доло)
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Каток зубчатый прикатывающий,Тишли босувчи каток
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Барабан намотки плёнки,Плёнка ўровчи барабан
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Зуб корчевателя,Корчеватель тиши
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гребёнка выдёргивателя стеблей хлопчатника,Гузапоя юлгич тароғи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Отвал канавокопателя (КЗУ),Канавокопатель (КЗУ) отвали
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Диск палоделателя,Пал ясагич диски
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Лемех валикоделателя,Валикоделатель лемехи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Заравнивающий отвал,Текисловчи отвал
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гребнеобразующий рабочий орган,Тепалик ҳосил қилувчи иш органи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Борозднарезной корпус,Эгат очувчи корпус
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гребёнка курак-аппарата,Курак аппарати тароғи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Барабан куракоуборочный,Курак йиғиш барабани
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Очиститель курака,Курак тозалагичи
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Гидромолот,Гидромолот
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Цепь траншейного экскаватора,Транше экскаватори занжири
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Фреза траншейная,Транше фрезаси
Рабочее оборудование,Илова ва иш жиҳозлари,unit,Насос центробежный ирригационный,Ирригация марказдан қочма насоси
